name,domain,linkedin_url,headquarters,location,description,primary_industry,size,revenue_range,revenue_currency,country,company_type,employee_count,revenue_usd_m,write_idempotency_key
Chedraui,chedraui.com.mx,https://linkedin.com/company/chedraui,"Xalapa, Mexico",Mexico,"Chedraui is a leading Mexican retail company that operates supermarkets and hypermarkets, offering a wide range of products including groceries, clothing, and household goods.",Supermarkets And Hypermarkets,"10,001+ employees",$10B+,USD,Mexico,Private Company,45000,10000.0,df52f2dc3fc4d28aa00101fe82352cd1
Conagra Brands,conagrabrands.com,https://linkedin.com/company/conagra-brands,"Chicago, United States",Global,"Conagra Brands is a leading consumer packaged goods company that produces and markets a wide range of food products, including frozen, refrigerated, and shelf-stable items. The company owns iconic brands such as Healthy Choice, Hunt's, and Birds Eye.",Food And Beverage Manufacturing,"10,001+ employees",$10B+,USD,United States,Public Company,18000,12277.0,056326f977b4f26eac354252a388d9b3
Compagnie Financière Richemont SA,richemont.com,https://linkedin.com/company/richemont,"Geneva, Switzerland",Global,"Compagnie Financière Richemont SA is a Swiss luxury goods holding company specializing in jewelry, watches, and accessories. It owns several renowned brands, including Cartier, Van Cleef & Arpels, and Montblanc.",Luxury Goods,"10,001+ employees",$10B+,USD,Switzerland,Private Company,35000,16662.0,2bd60cf088dba9bf13d679ed2b3ea57c
Coop Danmark A/S,coop.dk,https://linkedin.com/company/coop-danmark,"Albertslund, Denmark",Denmark,"Coop Danmark A/S is one of Denmark's largest retail companies, operating supermarkets, hypermarkets, and convenience stores under various brands. It focuses on providing high-quality groceries and consumer goods to Danish customers.",Supermarkets & Grocery Stores,"10,001+ employees",$1B - $10B,USD,Denmark,Private Company,40000,5479.0,03d3128cd0b8071700f3027db4f675cc
Constellation Brands,cbrands.com,https://linkedin.com/company/constellation-brands,"Victor, United States",Global,"Constellation Brands is a leading producer and marketer of beer, wine, and spirits, with a portfolio of iconic brands including Corona, Modelo, and Robert Mondavi. The company operates globally, delivering high-quality beverages to consumers worldwide.",Alcoholic Beverages,"10,001+ employees",$1B - $10B,USD,United States,Public Company,10000,9453.0,b7d322fb827514af2465240c1a33e48d
"Coop Norge, The Group",coop.no,https://linkedin.com/company/coop-norge,"Oslo, Norway",Norway,"Coop Norge is a leading retail group in Norway, operating a network of grocery stores, supermarkets, and hypermarkets. The company focuses on providing high-quality products and services to Norwegian consumers.",Grocery Retail,"10,001+ employees",$1B - $10B,USD,Norway,Private Company,28000,5707.0,9f8f1787b7dc58d7370c0f859d6afd71
Co-Operative Group Ltd.,co-operative.coop,https://linkedin.com/company/co-operative-group,"Manchester, United Kingdom",United Kingdom,"Co-operative Group Ltd. is a leading retail and consumer services company in the United Kingdom, operating food stores, funeral services, insurance, and legal services. It is owned by its members and focuses on ethical business practices.",Retail And Consumer Services,"10,001+ employees",$1B - $10B,USD,United Kingdom,Private Company,65000,9245.0,04381fcaac0ad38c4d61f26c756b8a95
Costco Wholesale Corporation,costco.com,https://linkedin.com/company/costco,"Issaquah, United States",Global,"Costco Wholesale Corporation operates an international chain of membership warehouses, offering a wide selection of merchandise, including groceries, electronics, and household goods, at competitive prices.",Warehouse Clubs And Supercenters,"10,001+ employees",$10B+,USD,United States,Private Company,304000,237710.0,eaad3645e104a07c5c3bd44d17bac992
Cosmos Pharmaceutical Corp.,cosmospc.co.jp,https://linkedin.com/company/cosmos-pharmaceutical-corp,"Fukuoka, Japan",Japan,"Cosmos Pharmaceutical Corp. is a leading retail company in Japan, specializing in the operation of drugstores and pharmacies that offer a wide range of health, beauty, and daily necessities.",Drugstore Retail,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,12000,6144.0,aa97bf6ab478b42bee8f7996ddd068b6
Danone S.A.,danone.com,https://linkedin.com/company/danone,"Paris, France",Global,"Danone S.A. is a multinational food-products corporation specializing in dairy products, plant-based alternatives, bottled water, and specialized nutrition. The company is committed to health-focused and sustainable food solutions.",Food & Beverage,"10,001+ employees",$10B+,USD,France,Public Company,100000,27630.0,07269ceb7d0852adec7a4313d20ae445
Davide Campari-Milano,camparigroup.com,https://linkedin.com/company/campari-group,"Milan, Italy",Global,"Davide Campari-Milano, known as Campari Group, is a leading global player in the beverage industry, specializing in premium spirits, wines, and soft drinks. The company is renowned for iconic brands such as Campari, Aperol, and SKYY Vodka.",Alcoholic Beverages,"1,001-5,000 employees",$1B - $10B,USD,Italy,Public Company,4000,2650.0,765658aff8c049e9cf5d0748fd5e408c
Defense Commissary Agency,commissaries.com,https://linkedin.com/company/defense-commissary-agency,"Fort Gregg-Adams, United States",United States,"The Defense Commissary Agency (DeCA) operates a worldwide chain of commissaries providing groceries to military personnel, retirees, and their families at cost, enhancing their quality of life and readiness.",Grocery Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,14000,4900.0,e186515d3f3cb27600adecd69ad40598
Diageo Plc,diageo.com,https://linkedin.com/company/diageo,"London, United Kingdom",Global,"Diageo is a global leader in beverage alcohol, producing and distributing a wide range of spirits, beer, and wine brands, including Johnnie Walker, Guinness, and Smirnoff.",Beverage Alcohol,"10,001+ employees",$10B+,USD,United Kingdom,Public Company,27000,20252.0,1ce9b44dc5b7d656ef409eaf903e0f22
"Demoulas Super Markets, Inc. (Dba Market Basket)",shopmarketbasket.com,https://linkedin.com/company/market-basket,"Tewksbury, United States",United States,"Demoulas Super Markets, Inc., operating as Market Basket, is a privately-owned supermarket chain offering groceries, fresh produce, and household goods across New England.",Supermarkets & Grocery Stores,"10,001+ employees",$1B - $10B,USD,United States,Private Company,25000,6600.0,14562b6670b64f56e39bf5987fa8a5fb
Dino Polska S.A. Group,dinopolska.pl,https://linkedin.com/company/dino-polska,"Krotoszyn, Poland",Poland,"Dino Polska S.A. Group is a leading Polish retail chain specializing in grocery stores, offering high-quality products at competitive prices across Poland.",Grocery Retail,"10,001+ employees",$1B - $10B,USD,Poland,Private Company,35000,6515.0,83c6235c08c183474b1347eb5aaebea8
ELO SA,elo.com,https://linkedin.com/company/elo-sa,"Croix, France",Europe,"ELO SA, formerly known as Auchan Holding SA, is a private French retail company specializing in hypermarkets, supermarkets, and e-commerce operations across Europe and globally.",Retail And E-Commerce,"10,001+ employees",$10B+,USD,France,Private Company,329000,35590.0,61ded6ba1b6e15490cd1287763561895
"Five Below, Inc.",fivebelow.com,https://linkedin.com/company/five-below,"Philadelphia, United States",United States,"Five Below, Inc. is a leading high-growth value retailer offering trend-right, high-quality products for teens, tweens, and beyond, all priced at $5 and below, with some extreme value items priced up to $25.",Discount Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,25000,3350.0,b744363ca94bab9188e170428da6b29e
Fonterra Cooperative Group,fonterra.com,https://linkedin.com/company/fonterra,"Auckland, New Zealand",Global,"Fonterra Cooperative Group is a multinational dairy company and the world's largest exporter of dairy products, providing high-quality dairy ingredients and consumer products to markets worldwide.",Dairy Products And Ingredients,"10,001+ employees",$10B+,USD,New Zealand,Public Company,20000,15320.0,cbfe860a07d3b7565ce2f15d1cead950
Fortenova Grupa D.D.,fortenova.hr,https://linkedin.com/company/fortenova-grupa,"Zagreb, Croatia",Croatia,"Fortenova Grupa d.d. is a leading retail and food company in Southeast Europe, operating across multiple markets with a focus on sustainability and innovation.",Retail And Food Distribution,"5,001-10,000 employees",$1B - $10B,USD,,Private Company,5000,5326.0,4d31bfcf0e52e243962e928cdffa4b85
"General Mills, Inc.",generalmills.com,https://linkedin.com/company/general-mills,"Minneapolis, United States",Global,"General Mills, Inc. is a leading multinational manufacturer and marketer of branded consumer foods, including cereals, snacks, and baking products. The company operates across various markets worldwide, delivering high-quality packaged goods to consumers.",Food And Beverage Manufacturing,"10,001+ employees",$10B+,USD,United States,Public Company,35000,20106.0,f4f178fbf1c389507e62ae4538e265db
Intermarché (Les Mousquetaires),intermarche.com,https://linkedin.com/company/intermarche,"Bondoufle, France",Europe,"Intermarché, part of Les Mousquetaires group, is a major French retail chain offering groceries, household goods, and other products through its network of supermarkets and hypermarkets across Europe.",Supermarkets And Hypermarkets,"10,001+ employees",$10B+,USD,France,Private Company,150000,50124.0,0f8b9c8025979dc0df7934f9a8f3411f
ITC Ltd.,itcportal.com,https://linkedin.com/company/itc-limited,"Kolkata, India",India,"ITC Ltd. is a leading Indian conglomerate with diversified business interests in FMCG, hotels, paperboards, packaging, agri-business, and information technology. It is renowned for its sustainability initiatives and strong presence in the consumer goods sector.",Fast-Moving Consumer Goods (Fmcg),"10,001+ employees",$1B - $10B,USD,India,Public Company,36000,8375.0,d5b87a74791f0f2cb9e62a743b29ac92
JBS S.A.,jbs.com.br,https://linkedin.com/company/jbs,"São Paulo, Brazil",Global,"JBS S.A. is one of the world's largest food companies, specializing in the production and processing of beef, chicken, pork, and other protein-based products. The company operates globally, serving both retail and foodservice markets.",Meat And Poultry Processing,"10,001+ employees",$10B+,USD,Brazil,Public Company,250000,72918.0,2476bacf0b983fd1d174036af19469c8
Keurig Dr Pepper,keurigdrpepper.com,https://linkedin.com/company/keurig-dr-pepper,"Burlington, United States",North America,"Keurig Dr Pepper is a leading beverage company that offers a wide range of hot and cold beverages, including coffee, soft drinks, juices, and specialty drinks. The company operates across North America and is known for its iconic brands and innovative brewing systems.",Beverage Manufacturing,"10,001+ employees",$10B+,USD,United States,Public Company,27000,14814.0,f3debe32d2a7ed864f274fe9f99dd182
Bath & Body Works,bathandbodyworks.com,https://linkedin.com/company/bath-and-body-works,"Columbus, United States",North America,"Bath & Body Works is a leading retailer specializing in personal care products, including fragrances, body care, and home essentials.",Personal Care Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,60000,7400.0,4bcd058288409710b7cb8c13fd7a71a5
"Lao Feng Xiang Co., Ltd.",laofengxiang.com,https://linkedin.com/company/lao-feng-xiang,"Shanghai, China",China,"Lao Feng Xiang Co., Ltd. is a leading Chinese jewelry retailer specializing in gold, silver, and diamond products. The company has a long history and is renowned for its craftsmanship and quality.",Jewelry Retail,"10,001+ employees",$1B - $10B,USD,China,Private Company,12000,8200.0,104a9ce5015b95dcd06cc44132c8cee6
Liquor Control Board Of Ontario,lcbo.com,https://linkedin.com/company/liquor-control-board-of-ontario,"Toronto, Canada","Ontario, Canada","The Liquor Control Board of Ontario (LCBO) is a government enterprise responsible for the retail and distribution of alcoholic beverages in Ontario, Canada. It operates a network of stores and online services to provide a wide selection of wines, spirits, and beer.",Alcohol Retail,"5,001-10,000 employees",$1B - $10B,USD,Canada,Private Company,8000,5506.0,f2a439f2be8d0aa107ba67ddf318b7c4
L'Oréal S.A.,loreal.com,https://linkedin.com/company/loreal,"Clichy, France",Global,"L'Oréal S.A. is a leading global beauty company specializing in cosmetics, skincare, haircare, and fragrance products. It operates in over 150 countries and is known for its innovation and diverse portfolio of brands.",Beauty And Personal Care,"10,001+ employees",$10B+,USD,France,Public Company,87000,41182.0,4d0386c28d2ac00406072563c5e45a4b
Lululemon Athletica Inc.,lululemon.com,https://linkedin.com/company/lululemon,"Vancouver, Canada",Global,"Lululemon Athletica Inc. is a Canadian athletic apparel retailer specializing in high-quality yoga, running, and workout clothing and accessories. The company is known for its innovative designs and commitment to promoting a healthy lifestyle.",Athletic Apparel Retail,"10,001+ employees",$1B - $10B,USD,Canada,Private Company,34000,9619.0,6ea9c0284803464eb58fe3f537c65def
Mccormick & Company,mccormick.com,https://linkedin.com/company/mccormick-and-company,"Hunt Valley, United States",Global,"McCormick & Company is a global leader in flavor, manufacturing, marketing, and distributing spices, seasoning mixes, condiments, and other flavorful products to the food industry and consumers worldwide.",Food And Beverage Manufacturing,"10,001+ employees",$1B - $10B,USD,United States,Public Company,14000,6548.0,1c7a57fcd31cb3416f731b6d7d3ba04e
Magazine Luiza S.A.,magazineluiza.com.br,https://linkedin.com/company/magazine-luiza,"São Paulo, Brazil",Brazil,"Magazine Luiza S.A. is one of Brazil's largest retail companies, offering a wide range of products including electronics, appliances, and furniture through its physical stores and e-commerce platform.",E-Commerce And Retail,"10,001+ employees",$1B - $10B,USD,Brazil,Private Company,40000,7531.0,e3ac7a05696c6bc95c32f1d6eca026ab
Mcdonald'S Corporation,mcdonalds.com,https://linkedin.com/company/mcdonalds,"Chicago, United States",Global,"McDonald's Corporation is a leading global fast-food chain known for its hamburgers, fries, and other quick-service menu items. It operates in over 100 countries with thousands of restaurants worldwide.",Fast Food & Quick Service Restaurants,"10,001+ employees",$10B+,USD,United States,Private Company,200000,25500.0,afba707a9e5f9b9137ade0c53d06ab58
Mediamarktsaturn,mediamarktsaturn.com,https://linkedin.com/company/mediamarktsaturn,"Ingolstadt, Germany",Europe,"MediaMarktSaturn is a leading European retailer specializing in consumer electronics and related services, operating under the MediaMarkt and Saturn brands.",Consumer Electronics Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,47000,21453.0,c0623c466521f1f1a5c9b78741bcda81
Migros,migros.ch,https://linkedin.com/company/migros,"Zurich, Switzerland",Switzerland,"Migros is Switzerland's largest retail company, offering a wide range of products and services including groceries, household goods, and financial services. It operates as a cooperative and is known for its commitment to sustainability and community-focused initiatives.",Retail And Consumer Goods,"10,001+ employees",$10B+,USD,Switzerland,Private Company,97000,28361.0,f0cf3727c2760f8b331d3d17f7a8559b
Nestlé USA,nestleusa.com,https://linkedin.com/company/nestle-usa,"Arlington, United States",North America,"Nestlé USA is a leading consumer packaged goods company that produces and distributes a wide range of food and beverage products, including coffee, frozen meals, and snacks. It is part of the global Nestlé Group, the world's largest food and beverage company.",Food & Beverage,"10,001+ employees",$10B+,USD,United States,Public Company,30000,31000.0,57aa2599b2fef200348ff5ab1a994945
Natura & Co Holding S.A,naturaeco.com,https://linkedin.com/company/natura-and-co,"São Paulo, Brazil",Global,"Natura & Co Holding S.A is a Brazilian multinational company operating in the cosmetics, personal care, and beauty retail industry. It owns brands like Natura, Avon, The Body Shop, and Aesop, focusing on sustainability and ethical business practices.",Cosmetics And Personal Care,"10,001+ employees",$1B - $10B,USD,Brazil,Private Company,35000,5508.0,58003eda2ffd392256ac687fa72f49bf
"Petco Health And Wellness Company, Inc.",petco.com,https://linkedin.com/company/petco,"San Diego, United States",United States,"Petco Health and Wellness Company, Inc. is a leading retailer of pet products, services, and solutions, dedicated to improving the lives of pets and their owners. The company offers a wide range of pet supplies, grooming, training, and veterinary services.",Pet Retail And Services,"10,001+ employees",$1B - $10B,USD,United States,Private Company,27000,5274.0,d513a4fcde318fb9d94d113caf2eb1a2
Nintendo Co.,nintendo.com,https://linkedin.com/company/nintendo,"Kyoto, Japan",Global,"Nintendo Co. is a Japanese multinational consumer electronics and video game company known for creating iconic gaming franchises such as Mario, The Legend of Zelda, and Pokémon. The company develops and publishes video games and consoles, including the Nintendo Switch.",Video Games And Consumer Electronics,"5,001-10,000 employees",$10B+,USD,Japan,Public Company,6500,11852.0,a0616c274d0aee8dab55eb9a356950a6
Pick N Pay,picknpay.co.za,https://linkedin.com/company/pick-n-pay,"Cape Town, South Africa",South Africa,"Pick n Pay is one of South Africa's leading retail chains, offering groceries, clothing, and general merchandise to customers across the country and beyond. The company is committed to providing affordable and quality products while supporting local communities.",Supermarkets And Grocery Retail,"10,001+ employees",$1B - $10B,USD,South Africa,Private Company,90000,6800.0,dbb79106e2c775cac736b8e9c291517f
"Petsmart, Inc.",petsmart.com,https://linkedin.com/company/petsmart,"Phoenix, United States",United States,"PetSmart, Inc. is a leading specialty pet retailer offering a wide range of pet products, services, and solutions for pet owners. The company operates retail stores and provides grooming, training, and adoption services.",Pet Retail And Services,"10,001+ employees",$1B - $10B,USD,United States,Private Company,53000,9700.0,4a802b340fb3c27489fa7b4bc2623015
Pilgrim'S Pride Corporation,pilgrims.com,https://linkedin.com/company/pilgrims-pride,"Greeley, United States",Global,"Pilgrim's Pride Corporation is one of the largest poultry producers in the world, providing high-quality chicken and prepared foods to retail, foodservice, and industrial customers.",Poultry Processing And Consumer Packaged Goods,"10,001+ employees",$10B+,USD,United States,Public Company,59000,14362.0,04fdb6470dc15db7452ed8cd992916b4
President Chain Store Corp.,presinet.com.tw,https://linkedin.com/company/president-chain-store-corp,"Taipei, Taiwan",Taiwan,"President Chain Store Corp. is a leading retail company in Taiwan, operating convenience stores, supermarkets, and other retail outlets under various brands, including 7-Eleven Taiwan.",Convenience Stores & Retail,"10,001+ employees",$1B - $10B,USD,Taiwan,Private Company,15000,9379.0,852337cb45f837fa9cb9e78d78b78cd0
Procter & Gamble Co.,pg.com,https://linkedin.com/company/procter-and-gamble,"Cincinnati, United States",Global,"Procter & Gamble Co. is a multinational consumer goods company specializing in a wide range of personal care, hygiene, and household products. It is known for iconic brands such as Tide, Pampers, Gillette, and Crest.",Consumer Goods,"10,001+ employees",$10B+,USD,United States,Public Company,106000,82006.0,af29237656b589dfb7a9fe9153dbcadd
PT Sumber Alfaria Trijaya Tbk (Alfamart),alfamart.co.id,https://linkedin.com/company/alfamart,"Tangerang, Indonesia",Indonesia,"PT Sumber Alfaria Trijaya Tbk, operating under the brand Alfamart, is a leading retail company in Indonesia, managing a vast network of convenience stores offering daily necessities at affordable prices.",Convenience Retail,"10,001+ employees",$1B - $10B,USD,,Private Company,100000,6946.0,2097fbd957d02dd5096e8076f87f1480
Publix Super Markets Inc,publix.com,https://linkedin.com/company/publix,"Lakeland, United States",United States,"Publix Super Markets Inc is a leading employee-owned supermarket chain in the United States, offering a wide range of grocery, deli, bakery, and pharmacy services. Known for its customer service and community involvement, Publix operates across the southeastern U.S.",Supermarkets & Grocery Stores,"10,001+ employees",$10B+,USD,United States,Private Company,240000,54460.0,8af93a6d4948f2b365b5b06cab267711
PVH Corp.,pvh.com,https://linkedin.com/company/pvh,"New York, United States",Global,"PVH Corp. is one of the world's largest apparel companies, owning iconic brands such as Calvin Klein and Tommy Hilfiger. The company designs, markets, and sells clothing and accessories globally.",Apparel & Fashion,"10,001+ employees",$1B - $10B,USD,United States,Public Company,20000,9024.0,e8f0d40f4a6cd0e5eae3141d64316fbf
Reinalt-Thomas Corporation (Doing Business As Discount Tire/America'S Tire),discounttire.com,https://linkedin.com/company/discount-tire,"Scottsdale, United States",United States,"Reinalt-Thomas Corporation, operating as Discount Tire/America's Tire, is a leading retailer of tires and wheels, offering a wide range of products and services to customers across the United States.",Automotive Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,25000,6390.0,29bb88aa0ba32f2dc530339132b918ae
Reckitt Benckiser Group,reckitt.com,https://linkedin.com/company/reckitt,"Slough, United Kingdom",Global,"Reckitt Benckiser Group is a multinational consumer goods company specializing in health, hygiene, and nutrition products. Its portfolio includes well-known brands such as Lysol, Dettol, Durex, and Enfamil.","Health, Hygiene, And Nutrition Products","10,001+ employees",$10B+,USD,United Kingdom,Public Company,40000,16966.0,384729a994868c608a9d12b1c66423ee
Reitan AS,reitan.no,https://linkedin.com/company/reitan-as,"Oslo, Norway",Norway,"Reitan AS, formerly known as Reitangruppen, is a leading retail company in Norway specializing in convenience stores, grocery retail, and fuel stations across Europe.",Convenience Retail,"10,001+ employees",$1B - $10B,USD,Norway,Private Company,38000,8214.0,b952bd273dfac2743b7ac284375ad7e0
Reliance Retail Limited,relianceretail.com,https://linkedin.com/company/reliance-retail,"Mumbai, India",India,"Reliance Retail Limited is a leading retail company in India, operating a wide range of stores across categories such as groceries, electronics, fashion, and lifestyle. It is a subsidiary of Reliance Industries Limited and plays a key role in India's retail sector.",Retail And Consumer Goods,"10,001+ employees",$10B+,USD,India,Private Company,150000,31002.0,c12a7d228c5af3b6aa74faaacb6e1764
Royal Frieslandcampina N.V.,frieslandcampina.com,https://linkedin.com/company/royal-frieslandcampina,"Amersfoort, Netherlands",Global,"Royal FrieslandCampina N.V. is a multinational dairy company that produces and markets a wide range of dairy-based products, including milk, cheese, butter, and infant nutrition. The company operates globally, serving both consumers and businesses with high-quality, sustainable dairy solutions.",Dairy Products,"10,001+ employees",$10B+,USD,Netherlands,Public Company,23000,14530.0,9c572e64b269ccb3c8ca344c3cce0151
Rite Aid Corporation,riteaid.com,https://linkedin.com/company/rite-aid,"Philadelphia, United States",United States,"Rite Aid Corporation is a leading retail pharmacy chain in the United States, offering health and wellness products, prescription medications, and pharmacy services to customers nationwide.",Pharmacy Retail,"10,001+ employees",$10B+,USD,United States,Private Company,50000,23953.0,bb4917a0633228f977a45b324ccfaf7a
S.A.C.I. Falabella,falabella.com,https://linkedin.com/company/falabella,"Santiago, Chile",Latin America,"S.A.C.I. Falabella is a leading retail company in Latin America, operating department stores, home improvement stores, and e-commerce platforms across the region.",Retail And E-Commerce,"10,001+ employees",$1B - $10B,USD,,Private Company,100000,9734.0,197f3098cf169d69452416a20ee1a6f5
Sally Beauty Holdings,sallybeauty.com,https://linkedin.com/company/sally-beauty-holdings,"Denton, United States",North America,"Sally Beauty Holdings is a leading retailer and distributor of professional beauty supplies, offering a wide range of hair care, skin care, and nail products to both professionals and consumers.",Beauty Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,30000,3690.0,a8066fb0b793214bb05a9eba8ed81f98
Shiseido Co.,shiseido.com,https://linkedin.com/company/shiseido,"Tokyo, Japan",Global,"Shiseido Co. is a leading Japanese multinational company specializing in cosmetics, skincare, fragrance, and personal care products. Founded in 1872, it is one of the oldest and most renowned beauty companies in the world.",Cosmetics And Personal Care,"10,001+ employees",$1B - $10B,USD,Japan,Public Company,39000,6867.0,5f30f0a9ffaf99bde654261574440c0b
Treehouse Foods,treehousefoods.com,https://linkedin.com/company/treehouse-foods,"Oak Brook, United States",North America,"TreeHouse Foods is a leading manufacturer and distributor of private label packaged foods and beverages, serving retail grocery, foodservice, and industrial customers.",Private Label Packaged Foods And Beverages,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,7000,3535.0,dd23fc6a37c30e4be1c25a19b67f53b5
Travelcenters Of America,ta-petro.com,https://linkedin.com/company/travelcenters-of-america,"Westlake, United States",United States,"TravelCenters of America is a leading operator of travel centers and truck stops, offering fuel, food, and other services to professional drivers and travelers across the United States.",Travel And Hospitality,"10,001+ employees",$1B - $10B,USD,United States,Private Company,20000,9700.0,72c6ce73900f18e1ee2eaafb0af23fc8
Tsuruha Holdings Inc.,tsuruha-hd.co.jp,https://linkedin.com/company/tsuruha-holdings-inc,"Sapporo, Japan",Japan,"Tsuruha Holdings Inc. is a leading retail company in Japan, specializing in the operation of drugstores and pharmacies offering health, beauty, and daily necessities.",Drugstore Retail,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,15000,6536.0,9b23b505ff6064910684bb342d258ce7
Total Wine & More,totalwine.com,https://linkedin.com/company/total-wine-&-more,"Bethesda, United States",United States,"Total Wine & More is a leading American retailer of wine, beer, and spirits, offering a wide selection of products at competitive prices. The company operates stores across the United States and provides an extensive online shopping experience.",Alcohol Retail,"5,001-10,000 employees",$1B - $10B,USD,United States,Private Company,7000,6000.0,3a585677e731859c1000820246b39866
"Tyson Foods, Inc.",tysonfoods.com,https://linkedin.com/company/tyson-foods,"Springdale, United States",Global,"Tyson Foods, Inc. is one of the world's largest food companies, specializing in the production of chicken, beef, pork, and prepared foods. The company serves customers across retail, foodservice, and industrial channels.",Food Production,"10,001+ employees",$10B+,USD,United States,Public Company,139000,52881.0,9f98268bcafb5d7865fec66bab20903f
Unilever PLC,unilever.com,https://linkedin.com/company/unilever,"London, United Kingdom",Global,"Unilever PLC is a multinational consumer goods company that produces and sells a wide range of products including food, beverages, cleaning agents, and personal care items. It operates in over 190 countries and is committed to sustainable business practices.",Consumer Goods,"10,001+ employees",$10B+,USD,United Kingdom,Public Company,148000,60069.0,d1f182109357fdaeafe5e59adcb29257
Uni-President Enterprises,uni-president.com.tw,https://linkedin.com/company/uni-president-enterprises,"Tainan, Taiwan",Asia-Pacific,"Uni-President Enterprises is a leading consumer packaged goods company based in Taiwan, specializing in food and beverage products, including instant noodles, beverages, and dairy products.",Food And Beverage Manufacturing,"10,001+ employees",$10B+,USD,Taiwan,Public Company,40000,15205.0,f645076f32a99e2726cefd04b181101e
"Ulta Beauty, Inc.",ulta.com,https://linkedin.com/company/ulta-beauty,"Bolingbrook, United States",United States,"Ulta Beauty, Inc. is a leading beauty retailer offering cosmetics, skincare, haircare, and fragrance products, along with salon services. The company operates stores across the United States and provides an extensive online shopping experience.",Beauty Retail,"10,001+ employees",$10B+,USD,United States,Private Company,37000,10208.0,fa516ace69be1b1bacab9e338e5d282e
Unicharm Corp.,unicharm.co.jp,https://linkedin.com/company/unicharm,"Tokyo, Japan",Global,"Unicharm Corp. is a leading Japanese company specializing in the production of personal care products, including diapers, feminine hygiene products, and pet care items. The company is known for its innovative and high-quality consumer goods.",Personal Care Products,"10,001+ employees",$1B - $10B,USD,Japan,Public Company,16000,6687.0,0f3032889f13872350748f348bf2fda7
"Conad Consorzio Nazionale, Dettaglianti Soc. Coop. A.R.L.",conad.it,https://linkedin.com/company/conad,"Bologna, Italy",Italy,"Conad is a leading Italian retail cooperative specializing in grocery and consumer goods, operating a network of supermarkets and hypermarkets across Italy.",Supermarkets & Grocery Stores,"10,001+ employees",$10B+,USD,Italy,Private Company,15000,19866.0,2835bd178e593a09912a3fe367293dff
Centres Distributeurs E. Leclerc,e-leclerc.com,https://linkedin.com/company/e-leclerc,"Ivry-sur-Seine, France",France,"Centres Distributeurs E. Leclerc is a leading French retail cooperative specializing in hypermarkets, supermarkets, and convenience stores, offering a wide range of products including groceries, electronics, and household goods.",Hypermarkets And Supermarkets,"10,001+ employees",$10B+,USD,France,Private Company,141000,63229.0,66fb3fb2a89872913296f0f479bdc9f1
"Dollar Tree, Inc",dollartree.com,https://linkedin.com/company/dollar-tree,"Chesapeake, United States",North America,"Dollar Tree, Inc is a leading operator of discount variety stores offering merchandise at the fixed price of $1.25 or less. The company operates thousands of stores across the United States and Canada.",Discount Retail,"10,001+ employees",$10B+,USD,United States,Private Company,193100,30602.0,9ea4bed13864d0a02849aba9f27bb3c3
Edeka Zentrale Stiftung & Co. KG,edeka.de,https://linkedin.com/company/edeka,"Hamburg, Germany",Germany,Edeka Zentrale Stiftung & Co. KG is a leading German retail company specializing in grocery stores and supermarkets. It operates as a cooperative network of independent retailers and is one of the largest food retailers in Europe.,Supermarkets And Grocery Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,402000,67932.0,972534bbc834a8b69a959965b69ce96a
Fnac Darty S.A.,fnacdarty.com,https://linkedin.com/company/fnac-darty,"Ivry-sur-Seine, France",Europe,"Fnac Darty S.A. is a leading European retailer specializing in consumer electronics, household appliances, books, and entertainment products. The company operates through a network of stores and e-commerce platforms, serving millions of customers annually.",Consumer Electronics And Retail,"10,001+ employees",$1B - $10B,USD,France,Private Company,25000,8691.0,4cb02b3f4886f7ce8aafec95cd8e4e56
Jd.Com,jd.com,https://linkedin.com/company/jd-com,"Beijing, China",Global,"JD.com is one of China's largest e-commerce companies, providing a wide range of products including electronics, apparel, and groceries, with a focus on technology-driven logistics and retail innovation.",E-Commerce,"10,001+ employees",$10B+,USD,China,Private Company,310000,155000.0,6253f6f7f690f27eb6f44410aea29fcd
Kesko Corporation,kesko.fi,https://linkedin.com/company/kesko,"Helsinki, Finland",Europe,"Kesko Corporation is a leading Finnish retail company operating in the grocery, building, and technical trade sectors. It serves customers through a network of stores and online platforms across Finland and other European countries.",Retail And Wholesale,"10,001+ employees",$1B - $10B,USD,Finland,Private Company,17000,7953.0,877430b67ac17996e722b1170af03825
Kao Corp.,kao.com,https://linkedin.com/company/kao,"Tokyo, Japan",Global,"Kao Corp. is a leading Japanese company specializing in consumer packaged goods, including beauty care, health care, and household products. The company is known for its innovative and sustainable solutions in personal care and hygiene.",Personal Care And Household Products,"10,001+ employees",$10B+,USD,Japan,Public Company,33000,10540.0,dcb6d75f00e7b07a98657fd2e990e004
